rayyan_id,decisao,decisao_final_dc,concorda_dc,ano,titulo,autores,journal,doi,link,motivo,resumo_pt,criterios_violados,explicacao_dc
493923781,exclude,include,NÃO,2025,A multimodal machine learning model for the stratification of breast cancer risk.,"Qian X, Pei J, Han C, Liang Z, Zhang G, Chen N, Zheng W, Meng F, Yu D, Chen Y, Sun Y, Zhang H, Qian W, Wang X, Er Z, Hu C, Zheng H, Shen D","Nature biomedical engineering - Volume 9, Issue 3, pp. 356-370 - published 2025-03-01",10.1038/s41551-024-01302-7,https://pubmed.ncbi.nlm.nih.gov/39633027/,"O estudo utiliza apenas ultrassom e mamografia, mas não se concentra exclusivamente em mamografia digital ou técnicas de deep learning aplicadas a mamografia.","O estudo desenvolve um modelo de aprendizado de máquina multimodal que combina mamografia e ultrassom para estratificação do risco de câncer de mama. O modelo foi testado em um grande conjunto de dados e apresentou desempenho semelhante ao de radiologistas experientes na classificação de tumores. No entanto, a inclusão do ultrassom como modalidade principal não atende aos critérios de inclusão.","[""Outras Modalidades: estudo utiliza ultrassom junto com mamografia""]","Embora o estudo utilize ultrassom, ele também inclui mamografia e aplica modelos de machine learning, o que pode ser relevante para a revisão, especialmente considerando a comparação com radiologistas."
493927625,exclude,include,NÃO,2025,Mammo-AGE: deep learning estimation of breast age from mammograms.,"Wang X, Tan T, Gao Y, Zhou HY, Zhang T, Han L, Portaluri A, Marcus E, Lu C, Drukker CA, Teuwen J, Beets-Tan R, Wang S, Karssemeijer N, Mann R","Nature communications - Volume 16, Issue 1, pp. 10934 - published 2025-12-08",10.1038/s41467-025-65923-5,https://pubmed.ncbi.nlm.nih.gov/41360762/,"O estudo foca na estimativa da idade biológica da mama usando mamografias saudáveis, sem abordar diretamente a detecção de câncer de mama.","O estudo propõe um modelo de deep learning para estimar a idade biológica da mama a partir de mamografias saudáveis. O modelo foi validado em grandes conjuntos de dados e mostrou correlação com a idade cronológica, mas não se concentra na detecção de câncer de mama. Embora tenha implicações para o risco de câncer, não atende ao critério de desfechos relacionados à detecção de câncer.","[""Falta de foco na detecção de câncer de mama""]","Embora o foco principal do estudo seja a estimativa da idade biológica, ele também aborda a relação entre a idade da mama e o risco de câncer, o que é relevante para a detecção de câncer de mama e se alinha com os critérios de inclusão."
493927629,exclude,include,NÃO,2025,A deep learning-based multimodal medical imaging model for breast cancer screening.,"Chen J, Pan T, Zhu Z, Liu L, Zhao N, Feng X, Zhang W, Wu Y, Cai C, Luo X, Lin B, Wang X, Ye Q, Gao R, Zhou Z, Beatson R, Tang J, Ming R, Wang D, Deng J, Zhou G","Scientific reports - Volume 15, Issue 1, pp. 14696 - published 2025-04-26",10.1038/s41598-025-99535-2,https://pubmed.ncbi.nlm.nih.gov/40287494/,"O estudo utiliza imagens de ultrassom juntamente com mamografia, o que não atende aos critérios de inclusão que exigem o uso exclusivo de mamografia.","O estudo explora modelos de previsão de câncer de mama baseados em imagens médicas multimodais, incluindo mamografia e ultrassom. Foram coletadas imagens de 790 pacientes e comparados modelos de classificação de deep learning. Os resultados mostraram que o modelo multimodal superou os modelos unimodais em várias métricas de desempenho, como AUC e precisão.","[""Estudos que usem apenas Ultrassom ou Ressonância Magnética (sem mamografia associada)""]","O estudo utiliza mamografia em conjunto com ultrassom, mas ainda atende aos critérios de inclusão, pois a mamografia é uma das modalidades permitidas. A exclusão foi baseada em uma interpretação errônea dos critérios."
493927648,exclude,exclude,sim,2025,"Artificial intelligence-assisted ultrasound screening for breast cancer in China: a prospective, clustered, controlled, population-based study.","Shen J, Liu Y, Liu A, Gu X, Zhou J, Jiang P, Mo M, Zhang L, Yang C, Zhou C, Wang Z, Xie Z, Yao W, Zhou S, Zheng Y, Chang C","Breast cancer research : BCR - Volume 27, Issue 1, pp. 173 - published 2025-10-07",10.1186/s13058-025-02128-0,https://pubmed.ncbi.nlm.nih.gov/41057952/,"O estudo se concentra em triagem de câncer de mama usando ultrassom assistido por IA, sem incluir mamografia, o que viola os critérios de inclusão.",O estudo avaliou a eficácia da triagem de câncer de mama assistida por IA usando ultrassom em uma população na China. Participantes de 35 a 69 anos foram divididos em grupos que receberam triagem com IA ou triagem rotineira. Os resultados mostraram que a triagem assistida por IA teve uma sensibilidade significativamente maior na detecção de câncer de mama em comparação com a triagem rotineira.,"[""Estudo apenas de ultrassom sem mamografia associada""]","A exclusão está correta, pois o estudo se concentra exclusivamente em triagem de câncer de mama usando ultrassom assistido por IA, sem incluir mamografia, o que viola claramente os critérios de inclusão."
493927721,exclude,exclude,sim,2025,Preferences for the Use of Artificial Intelligence for Breast Cancer Screening in Australia: A Discrete Choice Experiment.,"Woode ME, De Silva Perera U, Degeling C, Aquino YSJ, Houssami N, Carter SM, Chen G","The patient - Volume 18, Issue 5, pp. 495-510 - published 2025-09-01",10.1007/s40271-025-00742-w,https://pubmed.ncbi.nlm.nih.gov/40347323/,"O estudo não envolve a aplicação de algoritmos de Deep Learning em mamografias, mas sim a preferência das mulheres sobre o uso de IA em serviços de triagem, sem dados sobre desempenho ou métricas de acurácia.","Este estudo investigou as preferências de mulheres australianas em relação ao uso de inteligência artificial na triagem do câncer de mama. A pesquisa utilizou experimentos de escolha discreta para avaliar as preferências em relação a diferentes métodos de leitura, mas não apresentou dados sobre a aplicação de Deep Learning ou métricas de desempenho. Os resultados indicaram uma preferência por métodos que combinam radiologistas e sistemas de IA.","[""Falta de Dados: não fornece métricas de performance ou aplicação de Deep Learning""]","O estudo realmente não envolve a aplicação de algoritmos de Deep Learning em mamografias e não fornece métricas de desempenho, o que justifica a exclusão com base nos critérios estabelecidos."
493927750,exclude,exclude,sim,2025,Integrating deep learning features from mammography with SHAP values for a machine learning model predicting over 5-year recurrence of breast ductal carcinoma In Situ post-lumpectomy.,"Sha Y, Yuan Q, Du Y, Yang S, Niu M, Liang X, Sun S, Li T, Gong S, Han J","Frontiers in immunology - Volume 16, Issue , pp. 1681072 - published 2025-01-01",10.3389/fimmu.2025.1681072,https://pubmed.ncbi.nlm.nih.gov/41030436/,"O estudo não utiliza algoritmos de Deep Learning, mas sim métodos de machine learning tradicionais com características extraídas de mamografias.","O estudo analisou 140 pacientes com carcinoma ductal in situ (DCIS) para prever a recorrência pós-lumpectomia. Embora utilize características de mamografia, os algoritmos aplicados são de machine learning tradicionais, não de Deep Learning. O modelo com melhor desempenho teve AUC de 0,918, mas não atende aos critérios de inclusão.","[""Intervenção: não utiliza Deep Learning""]","A exclusão está correta, pois o estudo utiliza métodos de machine learning tradicionais e não algoritmos de Deep Learning, conforme os critérios de inclusão."
493927801,exclude,uncertain,NÃO,2025,Artificial Intelligence for Assessment of Digital Mammography Positioning Reveals Persistent Challenges.,"Margolies LR, Spear GG, Payne JI, Iles SE, Abdolell M","Journal of breast imaging - Volume 7, Issue 5, pp. 530-540 - published 2025-10-28",10.1093/jbi/wbaf025,https://pubmed.ncbi.nlm.nih.gov/40445914/,"O estudo foca na avaliação da qualidade de posicionamento da mamografia e não na detecção de câncer de mama, não atendendo ao critério de desfechos relevantes.","O estudo utilizou inteligência artificial para avaliar a qualidade de posicionamento em mamografias digitais, identificando critérios de qualidade não atendidos. Foram analisados 126.367 estudos de mamografia, revelando que a distribuição de critérios não atendidos era semelhante entre dois sistemas de saúde. O foco do estudo é na qualidade do posicionamento, não na detecção de câncer de mama.","[""desfechos não relevantes para detecção de câncer de mama""]","Embora o foco do estudo seja na avaliação da qualidade de posicionamento, a utilização de IA em mamografias digitais pode ter implicações relevantes para a detecção de câncer de mama, o que justifica uma análise mais aprofundada antes da exclusão."
493927842,exclude,include,NÃO,2025,Automated Breast Density Assessment for Full-Field Digital Mammography and Digital Breast Tomosynthesis.,"Jiang S, Bennett DL, Chen S, Toriola AT, Colditz GA","Cancer prevention research (Philadelphia, Pa.) - Volume 18, Issue 1, pp. 23-29 - published 2025-01-06",10.1158/1940-6207.CAPR-24-0338,https://pubmed.ncbi.nlm.nih.gov/39450526/,"O estudo foca na avaliação da densidade mamária e não na detecção de câncer de mama, não atendendo ao critério de desfechos relacionados ao câncer.",O estudo desenvolveu um modelo de deep learning para automatizar a avaliação da densidade mamária usando mamografia digital e tomossíntese. O modelo foi validado em uma coorte externa e demonstrou boa concordância com a avaliação de radiologistas. O foco principal é na densidade mamária e não na detecção de câncer de mama.,"[""Desfechos: não reporta métricas de detecção de câncer de mama""]","Embora o foco principal do estudo seja a avaliação da densidade mamária, ele está relacionado à detecção de câncer de mama, pois a densidade mamária é um fator de risco significativo. O estudo também menciona a aplicação clínica para decisões sobre triagem suplementar e avaliação de risco, o que é relevante para a detecção de câncer."
493927843,exclude,exclude,sim,2025,Deep Learning for Tumor Segmentation and Multiclass Classification in Breast Ultrasound Images Using Pretrained Models.,"ArunKumar KE, Wilson ME, Blake NE, Yost TJ, Walker M","Sensors (Basel, Switzerland) - Volume 25, Issue 24, pp.  - published 2025-12-12",10.3390/s25247557,https://pubmed.ncbi.nlm.nih.gov/41471551/,"O estudo se concentra exclusivamente em imagens de ultrassom e não menciona mamografia, violando o critério de inclusão.","O estudo desenvolveu técnicas de segmentação de imagem e classificação multiclass para imagens de ultrassom de mama usando modelos pré-treinados. Os resultados mostraram que o modelo DeepLabV3 teve um desempenho superior em termos de coeficiente de similaridade de Dice e AUC. No entanto, o foco foi apenas em ultrassom, sem incluir mamografia.","[""População: estudo apenas com ultrassom, sem mamografia""]","A exclusão está correta, pois o estudo se concentra exclusivamente em imagens de ultrassom, o que viola claramente o critério de inclusão que requer o uso de mamografia."
493927860,exclude,exclude,sim,2025,A RF-based end-to-end Breast Cancer Prediction algorithm.,Win KN,"Computers in biology and medicine - Volume 196, Issue 0, pp. 110785 - published 2025-09-01",10.1016/j.compbiomed.2025.110785,https://pubmed.ncbi.nlm.nih.gov/40752401/,"O estudo utiliza um algoritmo baseado em Random Forest, que não se enquadra na categoria de Deep Learning exigida pelos critérios de inclusão.","O artigo propõe um algoritmo de previsão de câncer de mama baseado em Random Forest, utilizando conjuntos de dados de câncer de mama e mamografia. Os resultados mostram que o algoritmo supera outros métodos de aprendizado de máquina, mas não utiliza Deep Learning.","[""Intervenção: não utiliza algoritmos de Deep Learning""]","A exclusão está correta, pois o estudo utiliza um algoritmo baseado em Random Forest, que não se enquadra nos critérios de inclusão que exigem o uso de algoritmos de Deep Learning."
493927867,exclude,include,NÃO,2025,Impact of pectoral muscle removal on deep-learning-based breast cancer risk prediction.,"Klanecek Z, Wang YK, Wagner T, Cockmartin L, Marshall N, Schott B, Deatsch A, Studen A, Jarm K, Krajc M, Vrhovec M, Bosmans H, Jeraj R","Physics in medicine and biology - Volume 70, Issue 5, pp.  - published 2025-02-18",10.1088/1361-6560/adb367,https://pubmed.ncbi.nlm.nih.gov/39914024/,"O estudo não se concentra na detecção de câncer de mama, mas sim na previsão de risco de câncer, o que não atende aos critérios de desfechos relevantes.","O estudo investigou o impacto da remoção do músculo peitoral na previsão de risco de câncer de mama usando um modelo de deep learning. Foram comparados modelos treinados com e sem a inclusão do músculo peitoral em mamografias, avaliando a performance de discriminação do risco. Os resultados mostraram que a remoção do músculo peitoral melhorou a performance do modelo em termos de discriminação do risco de câncer.","[""desfechos não atendidos (foco em previsão de risco, não detecção)""]","Embora o estudo se concentre na previsão de risco, ele utiliza algoritmos de Deep Learning aplicados a mamografias e reporta métricas de desempenho (AUC), o que pode ser relevante para a revisão, especialmente se a previsão de risco estiver relacionada à detecção de câncer de mama."
493927869,exclude,exclude,sim,2025,Efficient hybrid heuristic adopted deep learning framework for diagnosing breast cancer using thermography images.,"Bani Ahmad AYA, Alzubi JA, Vasanthan M, Kondaveeti SB, Shreyas J, Priyanka TP","Scientific reports - Volume 15, Issue 1, pp. 13605 - published 2025-04-19",10.1038/s41598-025-96827-5,https://pubmed.ncbi.nlm.nih.gov/40253418/,"O estudo utiliza imagens de termografia em vez de mamografia, o que não atende aos critérios de inclusão.","O estudo apresenta uma abordagem de diagnóstico de câncer de mama utilizando imagens de termografia e um novo modelo de deep learning chamado StackVRDNet. Os resultados mostram uma acurácia de 97,05% e precisão de 86,86%. No entanto, a pesquisa não envolve mamografia, que é um critério essencial para inclusão.","[""Estudo utiliza apenas termografia, sem mamografia associada.""]","A exclusão está correta, pois o estudo utiliza apenas imagens de termografia, que não se enquadram nos critérios de inclusão que exigem o uso de mamografia."
493927882,exclude,include,NÃO,2025,Integrating radiomics into predictive models for low nuclear grade DCIS using machine learning.,"Wu Y, Xu D, Zha Z, Gu L, Chen J, Fang J, Dou Z, Zhang P, Zhang C, Wang J","Scientific reports - Volume 15, Issue 1, pp. 7505 - published 2025-03-03",10.1038/s41598-025-92080-y,https://pubmed.ncbi.nlm.nih.gov/40033061/,"O estudo utiliza imagens de ultrassom e não se concentra exclusivamente em mamografia, violando o critério de inclusão.","O estudo desenvolveu um modelo de aprendizado de máquina para prever DCIS de baixo grau nuclear, integrando dados clínicos e imagens de mamografia e ultrassom. O modelo alcançou uma AUC de 0,92, superando modelos que utilizam apenas dados clínicos. Os resultados destacam a importância da integração de radiômica na predição de DCIS.","[""Outras Modalidades: uso de ultrassom sem mamografia associada""]","Embora o estudo utilize imagens de ultrassom, ele também inclui imagens de mamografia, o que o torna relevante para a revisão, pois atende ao critério de inclusão que permite o uso de mamografia associada."
493927891,exclude,include,NÃO,2025,Automated Tumor Segmentation in Breast-Conserving Surgery Using Deep Learning on Breast Tomosynthesis.,"Wu WP, Chen YW, Wu HK, Chen DR, Huang YL","Journal of imaging informatics in medicine - Volume 38, Issue 6, pp. 3684-3697 - published 2025-12-01",10.1007/s10278-025-01457-y,https://pubmed.ncbi.nlm.nih.gov/40032761/,"O estudo se concentra na segmentação de tumores durante a cirurgia conservadora da mama e não aborda a detecção de câncer de mama por mamografia, que é um critério essencial para inclusão.","O estudo visa melhorar a segmentação de tumores durante a cirurgia conservadora da mama usando tomossíntese digital (DBT) e um modelo de deep learning baseado em U-Net. Os resultados mostraram alta precisão na delimitação das margens tumorais, com coeficientes de IoU e Dice de 0,866 e 0,928, respectivamente.","[""População não atende ao critério de mamografia""]","Embora o foco principal do estudo seja a segmentação tumoral durante a cirurgia, ele utiliza a tomossíntese digital (DBT), que é uma modalidade de mamografia, e envolve mulheres com câncer de mama, o que justifica sua inclusão."
493927898,exclude,include,NÃO,2025,Artificial intelligence-based tumor size measurement on mammography: agreement with pathology and comparison with human readers' assessments across multiple imaging modalities.,"Kwon MR, Kim SH, Park GE, Mun HS, Kang BJ, Kim YT, Youn I","La Radiologia medica - Volume 130, Issue 9, pp. 1339-1351 - published 2025-09-01",10.1007/s11547-025-02033-8,https://pubmed.ncbi.nlm.nih.gov/40540124/,"O estudo inclui apenas ultrassom e ressonância magnética, sem foco exclusivo em mamografia, o que viola os critérios de inclusão.","O estudo avaliou a concordância entre medições de tamanho de tumor baseadas em IA em mamografia e a patologia final, incluindo 925 mulheres. Embora tenha utilizado mamografia, também considerou ultrassom e ressonância magnética, o que não atende aos critérios de inclusão. Os resultados mostraram uma concordância moderada com a patologia, mas com limitações significativas.","[""Outras Modalidades: inclui ultrassom e ressonância magnética sem mamografia associada""]","O estudo utiliza mamografia digital como parte da metodologia, o que atende aos critérios de inclusão, apesar de também incluir ultrassom e ressonância magnética."
493927919,exclude,include,NÃO,2025,Deep Learning Based on Automated Breast Volume Scanner Images for the Diagnosis of Breast Lesions: A Multicenter Diagnostic Study.,"Liu H, Zhang Y, Tan B, Yin YF, Yan LX, Xiang LH, Shan DD, Zhang YY, Ding SS, Xu G, Zhou BY, Shi YL, Zhu XX, Hu JL, Sun LP, Xu HX, Zhang YF","International journal of medical sciences - Volume 22, Issue 15, pp. 3924-3937 - published 2025-01-01",10.7150/ijms.118430,https://pubmed.ncbi.nlm.nih.gov/41049432/,"O estudo utiliza imagens de scanner de volume mamário automatizado (ABVS), que não é mamografia, portanto não atende ao critério de população.","O estudo desenvolveu um modelo de deep learning para detecção automatizada de câncer de mama utilizando imagens de scanner de volume mamário automatizado (ABVS). O modelo foi comparado ao desempenho de radiologistas e apresentou alta acurácia, sensibilidade e especificidade. No entanto, como o foco é em ABVS e não em mamografia, não se encaixa nos critérios de inclusão.","[""População: estudo não envolve mamografia""]","O estudo utiliza Deep Learning em imagens de ABVS, que é uma tecnologia moderna de imagem para diagnóstico de câncer de mama, e compara o desempenho da IA com radiologistas, atendendo aos critérios de inclusão da revisão."
493927923,exclude,include,NÃO,2025,Contrast-enhanced mammography-based interpretable machine learning model for the prediction of the molecular subtype breast cancers.,"Ma M, Xu W, Yang J, Zheng B, Wen C, Wang S, Xu Z, Qin G, Chen W","BMC medical imaging - Volume 25, Issue 1, pp. 255 - published 2025-07-01",10.1186/s12880-025-01765-3,https://pubmed.ncbi.nlm.nih.gov/40596940/,"O estudo utiliza mamografia com contraste (CEM), que não se enquadra nos critérios de inclusão que especificam mamografia digital, tomossíntese ou mamografia espectral.","Este estudo estabeleceu um modelo de aprendizado de máquina para prever subtipos moleculares de câncer de mama com base em características de mamografia com contraste. Incluiu 241 mulheres com câncer de mama e avaliou a performance do modelo usando a área sob a curva ROC. Os resultados mostraram associações entre características radiológicas e subtipos de câncer de mama, mas não se enquadra nos critérios de inclusão da revisão.","[""Uso de mamografia com contraste (CEM) em vez de mamografia digital, tomossíntese ou mamografia espectral.""]","O estudo utiliza mamografia com contraste (CEM), que é uma modalidade moderna e relevante para a detecção de câncer de mama, e se alinha com o critério de inclusão que permite o uso de mamografia, desde que seja uma tecnologia atual. Portanto, a exclusão não está justificada."
