ano,titulo,autores,journal,doi,link,motivo_exclusao,resumo_pt
2025,A multi stage deep learning model for accurate segmentation and classification of breast lesions in mammography.,"Ahmad S, Neal Joshua ES, Rao NT, Ghoniem RM, Taye BM, Bharany S","Scientific reports - Volume 15, Issue 1, pp. 37103 - published 2025-10-23",10.1038/s41598-025-21146-8,https://pubmed.ncbi.nlm.nih.gov/41131156/,"O estudo utiliza exclusivamente bancos de dados públicos (CBIS-DDSM e Wisconsin) sem validação em coorte clínica real, o que não atende aos critérios de inclusão.","O artigo apresenta um modelo de aprendizado profundo em múltiplas etapas (MSDLM) para segmentação e classificação de lesões mamárias em mamografias. O modelo foi validado em dois conjuntos de dados de referência, alcançando uma AUC de 95,75% e uma sensibilidade de 91,25%. No entanto, não há validação externa em coorte clínica real."
2025,Artificial Intelligence for Assessment of Digital Mammography Positioning Reveals Persistent Challenges.,"Margolies LR, Spear GG, Payne JI, Iles SE, Abdolell M","Journal of breast imaging - Volume 7, Issue 5, pp. 530-540 - published 2025-10-28",10.1093/jbi/wbaf025,https://pubmed.ncbi.nlm.nih.gov/40445914/,O estudo não aborda a detecção de câncer de mama e não apresenta validação externa do modelo de IA.,"O estudo avaliou a qualidade do posicionamento em mamografias digitais usando inteligência artificial, identificando critérios de qualidade não atendidos em dois sistemas de saúde. Foram processados 126.367 estudos de mamografia, mas o foco foi na qualidade do posicionamento e não na detecção de câncer."
2025,Deep learning-based bacterial foraging optimization algorithm to improve digital mammography-based breast cancer detection.,"Banumathy D, Karthikeyan D, Mohanraj G, Sarathkumar R","Scientific reports - Volume 15, Issue 1, pp. 37761 - published 2025-10-29",10.1038/s41598-025-97301-y,https://pubmed.ncbi.nlm.nih.gov/41162641/,"O estudo utiliza exclusivamente o banco de dados DDSM, que é considerado viciado, e não apresenta validação externa em coorte clínica real.","Este estudo investiga como otimizar a detecção precoce do câncer de mama em mamografias utilizando um algoritmo de otimização baseado em forrageamento bacteriano para melhorar a eficácia de modelos de CNN. O foco está na otimização de hiperparâmetros, mas o estudo não apresenta validação externa e utiliza um banco de dados considerado saturado."
2025,"Enhanced Multiple Instance Learning for Breast Cancer Detection in Mammography: Adaptive Patching, Advanced Pooling, and Deep Supervision.","Sarwar F, Garrido NMF, Sebastiao P, Silveira M","Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference - Volume 2025, Issue , pp. 1-6 - published 2025-07-01",10.1109/EMBC58623.2025.11254317,https://pubmed.ncbi.nlm.nih.gov/41336723/,"O estudo utiliza o dataset CBIS/DDSM, que é um banco público antigo, sem validação em coorte clínica real.","O artigo apresenta um modelo de aprendizado de múltiplas instâncias aprimorado para detecção de câncer de mama em mamografias, utilizando técnicas de supervisão profunda e pooling adaptativo. Os resultados experimentais no dataset CBIS/DDSM mostram uma AUC de 86%. O estudo destaca a eficácia de modelos baseados em MIL para detecção de câncer sem anotações detalhadas."
2025,Innovative deep learning classifiers for breast cancer detection through hybrid feature extraction techniques.,"Vijayalakshmi S, Pandey BK, Pandey D, Lelisho ME","Scientific reports - Volume 15, Issue 1, pp. 22212 - published 2025-07-01",10.1038/s41598-025-06669-4,https://pubmed.ncbi.nlm.nih.gov/40596190/,"O estudo utiliza exclusivamente o conjunto de dados MIAS, que é um banco público antigo, sem validação em coorte clínica real.","O estudo apresenta uma abordagem híbrida de classificação para análise de mamografias, combinando características estatísticas feitas à mão e técnicas de deep learning. O modelo 2D BiLSTM-CNN foi avaliado no conjunto de dados MIAS, alcançando 97,14% de precisão. No entanto, não há validação externa em coorte clínica real."
2025,Deep learning-driven prediction in healthcare systems: Applying advanced CNNs for enhanced breast cancer detection.,"Chaieb M, Azzouz M, Refifa MB, Fraj M","Computers in biology and medicine - Volume 189, Issue , pp. 109858 - published 2025-05-01",10.1016/j.compbiomed.2025.109858,https://pubmed.ncbi.nlm.nih.gov/40020549/,"O estudo utiliza exclusivamente o dataset Mini-DDSM, que é um banco público antigo, sem validação em coorte clínica real.","O estudo desenvolveu um sistema de detecção de câncer de mama utilizando redes neurais convolucionais (CNNs), com foco em melhorar a precisão do diagnóstico. O modelo FT-ResNet50 foi o mais eficaz, alcançando uma precisão de 97,54%. No entanto, o estudo se baseou exclusivamente no dataset Mini-DDSM, que não é adequado para validação externa."
2025,Breast cancer detection and classification with digital breast tomosynthesis: a two-stage deep learning approach.,Alashban Y,"Diagnostic and interventional radiology (Ankara, Turkey) - Volume 31, Issue 3, pp. 206-214 - published 2025-04-28",10.4274/dir.2024.242923,https://pubmed.ncbi.nlm.nih.gov/39648903/,"O estudo utiliza exclusivamente imagens de tomossíntese digital (DBT) e não menciona a validação externa em um conjunto de dados diferente, além de não se focar em mamografias.","O estudo propõe um sistema de diagnóstico assistido por computador em duas etapas que combina uma arquitetura de deep learning modificada (VGG19) para classificação de imagens de tomossíntese digital com o modelo YOLOv5 para detecção de tumores. Foram analisados 22.032 exames de DBT de 5.060 pacientes, mas não há validação externa mencionada."
2025,Deep Learning for Tumor Segmentation and Multiclass Classification in Breast Ultrasound Images Using Pretrained Models.,"ArunKumar KE, Wilson ME, Blake NE, Yost TJ, Walker M","Sensors (Basel, Switzerland) - Volume 25, Issue 24, pp.  - published 2025-12-12",10.3390/s25247557,https://pubmed.ncbi.nlm.nih.gov/41471551/,"O estudo se concentra exclusivamente em imagens de ultrassom e não aborda mamografia, violando o critério de foco na modalidade de mamografia.","O estudo desenvolve técnicas de segmentação de imagem e classificação multiclass para imagens de ultrassom de mama usando modelos pré-treinados. Os modelos foram avaliados no conjunto de dados BUSI, com métricas como AUC, F1 score e Dice Similarity Coefficient. No entanto, o foco é apenas em ultrassom, sem incluir mamografia."
2025,Efficient hybrid heuristic adopted deep learning framework for diagnosing breast cancer using thermography images.,"Bani Ahmad AYA, Alzubi JA, Vasanthan M, Kondaveeti SB, Shreyas J, Priyanka TP","Scientific reports - Volume 15, Issue 1, pp. 13605 - published 2025-04-19",10.1038/s41598-025-96827-5,https://pubmed.ncbi.nlm.nih.gov/40253418/,"O estudo utiliza imagens de termografia e não menciona a utilização de mamografias, portanto não atende ao critério de foco em câncer de mama com mamografia.","O estudo propõe um modelo de aprendizado profundo para diagnosticar câncer de mama usando imagens de termografia, empregando uma estrutura híbrida chamada StackVRDNet. O modelo utiliza técnicas de pré-processamento e otimização para melhorar a qualidade das imagens e apresenta resultados de precisão de 86,86% e acurácia de 97,05%. No entanto, não se concentra em mamografias."
2025,Automated Tumor Segmentation in Breast-Conserving Surgery Using Deep Learning on Breast Tomosynthesis.,"Wu WP, Chen YW, Wu HK, Chen DR, Huang YL","Journal of imaging informatics in medicine - Volume 38, Issue 6, pp. 3684-3697 - published 2025-12-01",10.1007/s10278-025-01457-y,https://pubmed.ncbi.nlm.nih.gov/40032761/,"O estudo não atende ao critério de robustez amostral, com apenas 51 casos avaliados.","O estudo propõe um modelo de deep learning baseado em U-Net para segmentação de tumores durante a cirurgia conservadora da mama, utilizando tomossíntese digital. O modelo foi avaliado em 51 casos de pacientes, mostrando precisão na delimitação das margens tumorais, mas não atende ao critério de N > 1000 mamografias."
2025,AI in 2D Mammography: Improving Breast Cancer Screening Accuracy.,"Ciurescu S, Cerbu S, Dima CN, Borozan F, Pârvănescu R, Ilaș DG, Cîtu C, Vernic C, Sas I","Medicina (Kaunas, Lithuania) - Volume 61, Issue 5, pp.  - published 2025-04-26",10.3390/medicina61050809,https://pubmed.ncbi.nlm.nih.gov/40428767/,"O estudo não atende ao critério de robustez amostral, com apenas 578 mamografias analisadas.","O estudo avaliou a utilidade da IA na detecção e classificação de lesões em mamografias 2D, utilizando um modelo de CNN com 578 imagens de um único centro de radiologia. O modelo alcançou uma AUC-ROC de 0,93 e uma precisão de 88,5%, mas não possui validação externa e a amostra é insuficiente."
2025,Improving YOLO-based breast mass detection with transfer learning pretraining on the OPTIMAM Mammography Image Database.,"Ho PS, Tsai HY, Liu I, Lee YY, Chan SW","Computers in biology and medicine - Volume 196, Issue 0, pp. 110581 - published 2025-09-01",10.1016/j.compbiomed.2025.110581,https://pubmed.ncbi.nlm.nih.gov/40602320/,"O estudo utiliza apenas 133 imagens de mamografia, o que não atende ao critério de robustez amostral (N > 1000).","O estudo avaliou a eficácia do aprendizado por transferência e técnicas de pré-processamento no modelo YOLO para detecção de massas mamárias. Utilizando 133 imagens, os autores compararam o desempenho do YOLOv9 com o YOLOv7, destacando melhorias na precisão média. No entanto, a amostra é insuficiente para validação clínica robusta."
2025,Breast cancer classification based on breast tissue structures using the Jigsaw puzzle task in self-supervised learning.,"Sugawara K, Takaya E, Inamori R, Konaka Y, Sato J, Shiratori Y, Hario F, Kobayashi T, Ueda T, Okamoto Y","Radiological physics and technology - Volume 18, Issue 1, pp. 209-218 - published 2025-03-01",10.1007/s12194-024-00874-y,https://pubmed.ncbi.nlm.nih.gov/39760975/,"O estudo utiliza exclusivamente um banco de dados público (Chinese Mammography Database) sem validação em coorte clínica real, o que não atende aos critérios de inclusão.","O estudo avalia a eficácia da tarefa de quebra-cabeça Jigsaw em aprendizado auto-supervisionado para a classificação do câncer de mama em imagens mamográficas. Quatro pipelines de pré-treinamento foram comparados, com AUC variando de 0.909 a 0.925. Os resultados sugerem que a tarefa Jigsaw pode melhorar a precisão diagnóstica com dados limitados."
2025,Contrast-enhanced mammography-based interpretable machine learning model for the prediction of the molecular subtype breast cancers.,"Ma M, Xu W, Yang J, Zheng B, Wen C, Wang S, Xu Z, Qin G, Chen W","BMC medical imaging - Volume 25, Issue 1, pp. 255 - published 2025-07-01",10.1186/s12880-025-01765-3,https://pubmed.ncbi.nlm.nih.gov/40596940/,"O estudo inclui apenas 241 pacientes, o que não atende ao critério de robustez amostral (N > 1000).","Este estudo desenvolveu um modelo de aprendizado de máquina para prever subtipos moleculares de câncer de mama com base em características de mamografia com contraste. Utilizou 241 pacientes e avaliou a performance do modelo com AUC, mas não atendeu ao critério de amostra mínima."
2025,Benign vs malignant tumors classification from tumor outlines in mammography scans using artificial intelligence techniques.,"Beni HM, Asaei FY","Computers in biology and medicine - Volume 197, Issue 0, pp. 111118 - published 2025-10-01",10.1016/j.compbiomed.2025.111118,https://pubmed.ncbi.nlm.nih.gov/40983013/,"O estudo utiliza um banco de dados público e não menciona validação externa em coorte clínica real, além de não reportar métricas clínicas relevantes como CDR ou Recall.","O estudo visa classificar tumores benignos e malignos a partir de contornos de tumores extraídos de mamografias, utilizando redes neurais convolucionais pré-treinadas e algoritmos de aprendizado de máquina. Os resultados mostraram alta precisão e especificidade, mas não há validação externa mencionada."
2025,Enhancing breast cancer classification using a deep sparse wavelet autoencoder approach.,"Alzakari SA, Hassairi S, Alhussan AA, Ejbali R","Scientific reports - Volume 15, Issue 1, pp. 26194 - published 2025-07-19",10.1038/s41598-025-11816-y,https://pubmed.ncbi.nlm.nih.gov/40681757/,"O artigo não menciona validação externa em um banco de dados diferente do utilizado para treinamento, o que é um critério essencial.","O estudo apresenta uma nova abordagem de classificação de imagens de câncer de mama utilizando um autoencoder de onda esparsa profundo (DSWAE). O modelo alcançou altas taxas de precisão e recall, mas não fornece informações sobre validação externa, o que limita sua aplicabilidade clínica."
2025,Paradigm-Shifting Attention-Based Hybrid View Learning for Enhanced Mammography Breast Cancer Classification With Multi-Scale and Multi-View Fusion.,"Zhao H, Zhang C, Chen J, Li Z, Wang F, Gao S","IEEE journal of biomedical and health informatics - Volume 29, Issue 11, pp. 8334-8347 - published 2025-11-01",10.1109/JBHI.2025.3569726,https://pubmed.ncbi.nlm.nih.gov/40354201/,"O estudo utiliza exclusivamente os conjuntos de dados INbreast e CBIS-DDSM, que são bancos públicos antigos, sem validação em coorte clínica real.","O artigo propõe um paradigma de Aprendizado Híbrido de Visão (HVL) para a classificação de câncer de mama em mamografias, utilizando um framework baseado em atenção. A validação experimental foi realizada nos conjuntos de dados INbreast e CBIS-DDSM, mostrando que o modelo supera métodos de visão única e múltipla, especialmente em condições de falta de dados. No entanto, não há validação externa em coorte clínica real."
2025,Analyzing Geospatial and Socioeconomic Disparities in Breast Cancer Screening Among Populations in the United States: Machine Learning Approach.,"Hashtarkhani S, Zhou Y, Kumsa FA, White-Means S, Schwartz DL, Shaban-Nejad A","JMIR cancer - Volume 11, Issue , pp. e59882 - published 2025-01-16",10.2196/59882,https://pubmed.ncbi.nlm.nih.gov/39819978/,"O estudo não aborda a detecção de câncer de mama, mas sim as taxas de triagem e fatores sociais, sem validação externa ou dados de mamografias.","O estudo analisa as taxas de triagem de câncer de mama nos EUA, focando em determinantes sociais de saúde e utilizando um modelo de floresta aleatória. Os resultados mostram disparidades geográficas nas taxas de triagem, mas não se concentram na detecção de câncer."
2025,Comparative analysis of semantic-segmentation models for screen film mammograms.,"Rani J, Singh J, Virmani J","Computers in biology and medicine - Volume 194, Issue , pp. 110437 - published 2025-08-01",10.1016/j.compbiomed.2025.110437,https://pubmed.ncbi.nlm.nih.gov/40479791/,"O estudo utiliza exclusivamente o conjunto de dados DDSM, que é um banco público antigo, sem validação em coorte clínica real.","O estudo analisa o desempenho de dez modelos de segmentação semântica para mamografias, utilizando 518 imagens do conjunto de dados DDSM. Os modelos foram avaliados em termos de precisão na segmentação de massas mamárias, com o ResNet50 sendo identificado como o modelo ótimo. No entanto, não há validação externa."
2025,AI assistance improves reader agreement in digital mammography: A multireader crossover study of general and breast subspecialty radiologists.,"Ahmadzade M, Rouientan H, Abdi N, Norouzi M, Hakimi M, Bahrambeigi M, Khalili Pouya E, Bahmanyar F, Haghi S, Abbasi F, Madadi H, Bakhtavar K, Laalinia H, Ahmadinejad N, Rabiee P, Moosavian F, Akhlaghpoor S","Scientific reports - Volume 16, Issue 1, pp. 1370 - published 2025-12-02",10.1038/s41598-025-31065-3,https://pubmed.ncbi.nlm.nih.gov/41331340/,"O estudo não apresenta validação externa, pois utiliza um conjunto de dados de 65 mamografias de um único grupo de mulheres, o que não atende ao critério de robustez amostral.","Este estudo avaliou o impacto da inteligência artificial (IA) na concordância entre radiologistas na interpretação de mamografias, comparando a eficácia entre radiologistas gerais e subspecialistas. A IA melhorou a concordância inter e intra-rater, mas o estudo foi realizado com um número muito pequeno de mamografias (65), sem validação externa."
2025,A Machine Learning Model for Predicting the HER2 Positive Expression of Breast Cancer Based on Clinicopathological and Imaging Features.,"Qin X, Yang W, Zhou X, Yang Y, Zhang N","Academic radiology - Volume 32, Issue 7, pp. 3841-3857 - published 2025-07-01",10.1016/j.acra.2025.01.001,https://pubmed.ncbi.nlm.nih.gov/39837702/,"O estudo não realiza validação externa, pois a validação é feita apenas em uma coorte interna e não em um banco de dados diferente.","O estudo desenvolveu um modelo de aprendizado de máquina para prever a expressão positiva do HER2 em câncer de mama, utilizando dados clínicos e de imagem. Foram analisadas 2541 pacientes, com um modelo de rede neural artificial (ANN) que alcançou uma AUC de 0.853 na coorte de treinamento. No entanto, a validação foi feita apenas em uma coorte interna, sem validação externa."
2025,Multi-scale region selection network in deep features for full-field mammogram classification.,"Sun L, Han B, Jiang W, Liu W, Liu B, Tao D, Yu Z, Li C","Medical image analysis - Volume 100, Issue , pp. 103399 - published 2025-02-01",10.1016/j.media.2024.103399,https://pubmed.ncbi.nlm.nih.gov/39615148/,O estudo utiliza exclusivamente conjuntos de dados públicos e não menciona validação externa em coorte clínica real.,"O artigo propõe uma rede de seleção de regiões em múltiplas escalas (MRSN) para classificar mamografias sem a necessidade de anotações de ROI. O modelo é treinado para focar em regiões tumorais, mas os experimentos são realizados em dois conjuntos de dados públicos e um privado, sem validação externa."
2025,Predicting PIK3CA mutation in breast cancer with machine learning based multimodal image radiomics.,"Yao J, Li X, Chai W, Li A, Chen X, Zhou W, Zhou J","European journal of medical research - Volume 30, Issue 1, pp. 1161 - published 2025-11-24",10.1186/s40001-025-03435-0,https://pubmed.ncbi.nlm.nih.gov/41287110/,"O estudo não possui validação externa, utilizando apenas um conjunto de dados interno com 186 pacientes.","O estudo explora abordagens de machine learning para prever mutações PIK3CA em câncer de mama, utilizando radiômica de mamografia e ultrassom. Foram analisados 186 pacientes, com AUCs variando de 0.656 a 0.899, mas sem validação externa."
2025,Invasion prediction with artificial intelligence in ductal carcinoma in situ (DCIS) patients: a proof-of-concept study.,"Gundogdu A, Wetherilt CS, Alpar A, Abdullah S, Yilmaz OC, Celik L","BMC surgery - Volume 25, Issue 1, pp. 492 - published 2025-10-21",10.1186/s12893-025-03252-6,https://pubmed.ncbi.nlm.nih.gov/41121162/,"O estudo tem uma amostra de apenas 74 pacientes, o que não atende ao critério de robustez amostral.","Este estudo avaliou a análise de mamografia assistida por IA para prever o risco de invasão em pacientes com carcinoma ductal in situ (DCIS). Utilizando um sistema de IA, os pacientes foram classificados em grupos de baixo e alto risco, mas a amostra foi limitada a 74 pacientes, o que não é suficiente para validação robusta."
2025,Enhanced breast mass segmentation in mammograms using a hybrid transformer UNet model.,"Mohammadi S, Ahmadi Livani M","Computers in biology and medicine - Volume 184, Issue , pp. 109432 - published 2025-01-01",10.1016/j.compbiomed.2024.109432,https://pubmed.ncbi.nlm.nih.gov/39566280/,"O estudo utiliza exclusivamente bancos de dados públicos antigos (CBIS-DDSM e INbreast) sem validação em coorte clínica real, o que não atende aos critérios de inclusão.","O artigo propõe um modelo híbrido HTU-Net para segmentação de massas mamárias em mamografias, combinando CNNs e Transformers. Os resultados experimentais mostram que o modelo supera métodos de ponta em termos de precisão e métricas de segmentação, mas não apresenta validação externa em coortes clínicas."
2025,A Two-Stage Lightweight Deep Learning Framework for Mass Detection and Segmentation in Mammograms Using YOLOv5 and Depthwise SegNet.,"Manolakis D, Bizopoulos P, Lalas A, Votis K","Journal of imaging informatics in medicine - Volume 38, Issue 6, pp. 3852-3867 - published 2025-12-01",10.1007/s10278-025-01471-0,https://pubmed.ncbi.nlm.nih.gov/40087224/,O estudo utiliza exclusivamente bancos de dados públicos antigos (CBIS-DDSM e INbreast) sem validação em coorte clínica real.,"O artigo propõe um modelo leve de aprendizado profundo para detecção e segmentação de massas em mamografias, utilizando YOLOv5 e SegNet. O modelo é projetado para operar no navegador do usuário, garantindo a privacidade dos dados médicos. Os resultados foram obtidos em conjuntos de dados públicos, mas não há validação externa."
2025,Breast Cancer Detection and Sub-typing Using Subtraction of Temporally Sequential Mammograms and Machine Learning: Assessment of Invasiveness and Tumor Grade.,"Loizidou K, Vlachou EO, Yiallourou A, Nikolaou C, Pitris C","Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference - Volume 2025, Issue , pp. 1-7 - published 2025-07-01",10.1109/EMBC58623.2025.11253122,https://pubmed.ncbi.nlm.nih.gov/41337438/,"O estudo utiliza apenas 164 imagens, o que não atende ao critério de robustez amostral (N > 1000).","O estudo desenvolve um algoritmo para detecção automática e subtipagem do câncer de mama a partir de mamografias sequenciais. Utilizando um novo conjunto de dados de 164 imagens, o algoritmo alcançou 91,2% de precisão e 0,91 AUC para classificação de in situ vs. invasivo, e 92,8% de precisão e 0,92 AUC para classificação de grau tumoral."
2025,A Radiomic-Clinical Model of Contrast-Enhanced Mammography for Breast Cancer Biopsy Outcome Prediction.,"Liu C, Patel P, Arefan D, Zuley M, Sumkin J, Wu S","Academic radiology - Volume 32, Issue 5, pp. 2438-2449 - published 2025-05-01",10.1016/j.acra.2024.12.051,https://pubmed.ncbi.nlm.nih.gov/39799013/,"O estudo não possui validação externa, utilizando apenas um conjunto de dados interno para teste.","O estudo desenvolveu um modelo de aprendizado de máquina para prever os resultados de biópsias em mamografias com contraste, utilizando características radiômicas e descritores clínicos. O modelo foi testado em um grupo interno de 86 pacientes, apresentando AUC de até 0.90. No entanto, não houve validação externa."
